filename,datapoints,trajectory_len,mode,freq,hd_frac,shd_frac,prec,rec,f1
ds_NumPoints21_Len18_Sync_Freq1.txt,21,18,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len18_Sync_Freq2.txt,21,18,Sync,2,0.583333,0.619048,0.187500,0.272727,0.222222
ds_NumPoints21_Len18_Sync_Freq3.txt,21,18,Sync,3,0.444444,0.523810,0.333333,0.454545,0.384615
ds_NumPoints21_Len21_Async_Freq1.txt,21,21,Async,1,0.111111,0.190476,0.733333,1.000000,0.846154
ds_NumPoints21_Len21_Async_Freq2.txt,21,21,Async,2,0.250000,0.333333,0.562500,0.818182,0.666667
ds_NumPoints21_Len21_Async_Freq3.txt,21,21,Async,3,0.166667,0.285714,0.666667,0.909091,0.769231
ds_NumPoints21_Len21_Sync_Freq1.txt,21,21,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len21_Sync_Freq2.txt,21,21,Sync,2,0.583333,0.619048,0.187500,0.272727,0.222222
ds_NumPoints21_Len21_Sync_Freq3.txt,21,21,Sync,3,0.388889,0.523810,0.400000,0.545455,0.461538
ds_NumPoints21_Len24_Async_Freq1.txt,21,24,Async,1,0.138889,0.238095,0.687500,1.000000,0.814815
ds_NumPoints21_Len24_Async_Freq2.txt,21,24,Async,2,0.222222,0.380952,0.588235,0.909091,0.714286
ds_NumPoints21_Len24_Async_Freq3.txt,21,24,Async,3,0.111111,0.190476,0.733333,1.000000,0.846154
ds_NumPoints21_Len24_Sync_Freq1.txt,21,24,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len24_Sync_Freq2.txt,21,24,Sync,2,0.527778,0.619048,0.250000,0.363636,0.296296
ds_NumPoints21_Len24_Sync_Freq3.txt,21,24,Sync,3,0.416667,0.523810,0.357143,0.454545,0.400000
ds_NumPoints21_Len27_Async_Freq1.txt,21,27,Async,1,0.250000,0.380952,0.562500,0.818182,0.666667
ds_NumPoints21_Len27_Async_Freq2.txt,21,27,Async,2,0.166667,0.285714,0.647059,1.000000,0.785714
ds_NumPoints21_Len27_Async_Freq3.txt,21,27,Async,3,0.138889,0.238095,0.687500,1.000000,0.814815
ds_NumPoints21_Len27_Sync_Freq1.txt,21,27,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len27_Sync_Freq2.txt,21,27,Sync,2,0.583333,0.619048,0.187500,0.272727,0.222222
ds_NumPoints21_Len27_Sync_Freq3.txt,21,27,Sync,3,0.444444,0.571429,0.352941,0.545455,0.428571
ds_NumPoints21_Len30_Async_Freq1.txt,21,30,Async,1,0.250000,0.380952,0.555556,0.909091,0.689655
ds_NumPoints21_Len30_Async_Freq2.txt,21,30,Async,2,0.250000,0.380952,0.555556,0.909091,0.689655
ds_NumPoints21_Len30_Async_Freq3.txt,21,30,Async,3,0.166667,0.238095,0.692308,0.818182,0.750000
ds_NumPoints21_Len30_Sync_Freq1.txt,21,30,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len30_Sync_Freq2.txt,21,30,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints21_Len30_Sync_Freq3.txt,21,30,Sync,3,0.500000,0.523810,0.266667,0.363636,0.307692
ds_NumPoints21_Len33_Async_Freq1.txt,21,33,Async,1,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints21_Len33_Async_Freq2.txt,21,33,Async,2,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints21_Len33_Async_Freq3.txt,21,33,Async,3,0.222222,0.380952,0.588235,0.909091,0.714286
ds_NumPoints21_Len33_Sync_Freq1.txt,21,33,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len33_Sync_Freq2.txt,21,33,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints21_Len33_Sync_Freq3.txt,21,33,Sync,3,0.416667,0.571429,0.375000,0.545455,0.444444
ds_NumPoints21_Len36_Async_Freq1.txt,21,36,Async,1,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints21_Len36_Async_Freq2.txt,21,36,Async,2,0.194444,0.333333,0.642857,0.818182,0.720000
ds_NumPoints21_Len36_Async_Freq3.txt,21,36,Async,3,0.166667,0.285714,0.666667,0.909091,0.769231
ds_NumPoints21_Len36_Sync_Freq1.txt,21,36,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len36_Sync_Freq2.txt,21,36,Sync,2,0.611111,0.619048,0.133333,0.181818,0.153846
ds_NumPoints21_Len36_Sync_Freq3.txt,21,36,Sync,3,0.444444,0.523810,0.333333,0.454545,0.384615
ds_NumPoints21_Len39_Async_Freq1.txt,21,39,Async,1,0.222222,0.380952,0.588235,0.909091,0.714286
ds_NumPoints21_Len39_Async_Freq2.txt,21,39,Async,2,0.250000,0.428571,0.555556,0.909091,0.689655
ds_NumPoints21_Len39_Async_Freq3.txt,21,39,Async,3,0.083333,0.142857,0.785714,1.000000,0.880000
ds_NumPoints21_Len39_Sync_Freq1.txt,21,39,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len39_Sync_Freq2.txt,21,39,Sync,2,0.527778,0.619048,0.250000,0.363636,0.296296
ds_NumPoints21_Len39_Sync_Freq3.txt,21,39,Sync,3,0.250000,0.333333,0.555556,0.909091,0.689655
ds_NumPoints21_Len3_Async_Freq1.txt,21,3,Async,1,0.305556,0.476190,0.500000,0.181818,0.266667
ds_NumPoints21_Len3_Async_Freq2.txt,21,3,Async,2,0.305556,0.476190,0.000000,0.000000,0.000000
ds_NumPoints21_Len3_Async_Freq3.txt,21,3,Async,3,0.194444,0.333333,0.833333,0.454545,0.588235
ds_NumPoints21_Len3_Sync_Freq1.txt,21,3,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len3_Sync_Freq2.txt,21,3,Sync,2,0.500000,0.666667,0.181818,0.181818,0.181818
ds_NumPoints21_Len3_Sync_Freq3.txt,21,3,Sync,3,0.444444,0.619048,0.272727,0.272727,0.272727
ds_NumPoints21_Len6_Async_Freq1.txt,21,6,Async,1,0.166667,0.285714,0.727273,0.727273,0.727273
ds_NumPoints21_Len6_Async_Freq2.txt,21,6,Async,2,0.166667,0.238095,0.777778,0.636364,0.700000
ds_NumPoints21_Len6_Async_Freq3.txt,21,6,Async,3,0.083333,0.142857,0.900000,0.818182,0.857143
ds_NumPoints21_Len6_Sync_Freq1.txt,21,6,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints21_Len6_Sync_Freq2.txt,21,6,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints21_Len6_Sync_Freq3.txt,21,6,Sync,3,0.333333,0.476190,0.454545,0.454545,0.454545
ds_NumPoints21_Len9_Async_Freq1.txt,21,9,Async,1,0.111111,0.190476,0.818182,0.818182,0.818182
ds_NumPoints21_Len9_Async_Freq2.txt,21,9,Async,2,0.083333,0.142857,0.833333,0.909091,0.869565
ds_NumPoints21_Len9_Async_Freq3.txt,21,9,Async,3,0.083333,0.142857,0.785714,1.000000,0.880000
